MSZoning,Street,LotShape,LandSlope,Neighborhood,HouseStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageType_NoNull,OverallQual,GrLivArea_capped,TotalBsmtSF_capped,2ndFlrSF,BsmtFinSF1,1stFlrSF_capped,LotArea_capped,GarageArea_capped,YearBuilt,LotFrontage_capped
RM,Pave,Reg,Gtl,OldTown,1Story,TA,BrkTil,TA,No,TA,GasA,Gd,Y,Gd,Gd,Unf,Detchd,6,1103.0,1103.0,0,397,1103.0,6000.0,440.0,1925,50.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,8,2078.0,1034.0,1028,789,1050.0,10800.0,836.0,2007,85.0
RM,Pave,Reg,Gtl,IDOTRR,1.5Unf,TA,CBlock,TA,Av,TA,GasA,Po,N,TA,,Unf,Detchd,5,803.0,720.0,0,116,803.0,5000.0,360.0,1941,50.0
RL,Pave,Reg,Gtl,Crawfor,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,Gd,Gd,Unf,Attchd,6,1152.0,1092.0,0,0,1152.0,14000.0,300.0,1950,80.0
RL,Pave,Reg,Gtl,NWAmes,SFoyer,TA,CBlock,Gd,Gd,Gd,GasA,TA,Y,Gd,TA,RFn,Attchd,7,1173.0,1053.0,0,885,1173.0,10625.0,528.0,1974,85.0
RM,Pave,Reg,Gtl,IDOTRR,2Story,Fa,Slab,NoBasement,NoBasement,NoBasement,GasA,Fa,N,Fa,,NoGarage,,4,1092.0,0.0,720,0,372.0,5600.0,0.0,1930,70.0
RL,Pave,Reg,Gtl,Crawfor,2Story,TA,BrkTil,Gd,Mn,Gd,GasA,Gd,Y,TA,,Unf,Detchd,5,1784.0,747.0,892,0,892.0,13132.0,180.0,1914,96.0
RL,Pave,IR1,Gtl,NWAmes,SLvl,TA,CBlock,TA,No,TA,GasA,Gd,Y,Gd,TA,RFn,Attchd,7,1920.0,570.0,698,0,1222.0,10192.0,487.0,1968,102.0
RL,Pave,IR1,Gtl,Gilbert,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1670.0,1670.0,0,0,1670.0,14859.0,690.0,2006,50.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Detchd,7,1223.0,600.0,623,0,520.0,2544.0,480.0,2005,24.0
RL,Pave,IR1,Gtl,Crawfor,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,Fin,Attchd,7,1801.0,1501.0,0,1247,1801.0,15602.0,484.0,1959,100.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1656.0,1656.0,0,0,1656.0,9246.0,506.0,1973,87.0
RL,Pave,IR1,Gtl,Crawfor,2Story,TA,BrkTil,TA,No,TA,GasA,Gd,Y,Gd,Gd,Unf,Detchd,7,1717.0,756.0,756,216,961.0,9550.0,642.0,1915,60.0
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Fin,BuiltIn,9,2599.0,1393.0,1177,0,1422.0,14774.0,779.0,1999,108.0
RL,Pave,Reg,Gtl,NAmes,2Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,Gd,Gd,Unf,Attchd,5,1644.0,728.0,756,386,888.0,9480.0,312.0,1942,79.0
RL,Pave,IR1,Gtl,NridgHt,2Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,8,2468.0,1136.0,1332,970,1136.0,12099.0,872.0,2004,99.0
RL,Pave,IR1,Gtl,Mitchel,1.5Fin,TA,Wood,Gd,No,Gd,GasA,Ex,Y,TA,,Unf,Attchd,5,1362.0,796.0,566,732,796.0,14115.0,480.0,1993,85.0
RL,Pave,IR1,Gtl,Timber,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Ex,Gd,RFn,Attchd,8,1484.0,1476.0,0,428,1484.0,9037.0,472.0,2006,64.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,Mn,TA,GasA,Gd,Y,Gd,,Unf,Detchd,5,1200.0,864.0,0,661,1200.0,9230.0,884.0,1965,71.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,RFn,Attchd,6,1350.0,1064.0,0,0,1350.0,10140.0,478.0,1974,78.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,PConc,NoBasement,NoBasement,NoBasement,GasA,TA,N,Fa,,NoGarage,,4,1152.0,0.0,0,0,1152.0,6040.0,0.0,1955,65.0
RL,Pave,Reg,Gtl,NWAmes,1Story,Gd,PConc,Ex,No,Ex,GasA,Ex,Y,Gd,TA,Fin,Attchd,7,1680.0,1650.0,0,144,1680.0,10140.0,583.0,1998,78.0
RM,Pave,Reg,Gtl,OldTown,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Gd,N,TA,,Unf,Attchd,5,1440.0,540.0,551,0,889.0,5000.0,352.0,1900,63.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Fa,RFn,Attchd,5,1214.0,1214.0,0,695,1214.0,10355.0,318.0,1967,
RL,Pave,IR1,Gtl,Sawyer,2Story,Gd,CBlock,TA,No,TA,GasA,Ex,Y,Gd,,RFn,Attchd,6,1479.0,725.0,754,533,725.0,13517.0,475.0,1976,
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,Attchd,8,1801.0,893.0,900,0,901.0,10463.0,800.0,2005,72.0
RL,Pave,IR1,Gtl,Crawfor,2Story,TA,CBlock,TA,No,TA,GasA,Fa,Y,Gd,Gd,Unf,Attchd,6,1494.0,771.0,741,547,753.0,7500.0,213.0,1942,
RL,Pave,Reg,Gtl,SawyerW,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Ex,Unf,Attchd,7,2329.0,1475.0,797,1085,1532.0,11839.0,514.0,1990,86.0
RL,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1588.0,1588.0,0,0,1588.0,10000.0,825.0,2006,85.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,Mn,TA,GasA,Ex,Y,TA,Fa,Fin,BuiltIn,6,1194.0,655.0,0,655,1194.0,8910.0,539.0,1959,79.0
RL,Pave,IR1,Gtl,CollgCr,1Story,TA,PConc,Gd,Gd,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,1494.0,1479.0,0,1200,1494.0,9236.0,576.0,1997,79.0
RL,Pave,IR1,Gtl,NoRidge,1.5Fin,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Ex,Fin,Attchd,8,2829.164657188144,2033.0,1185,816,2053.0,14720.0,666.0,1995,56.0
RL,Pave,IR1,Gtl,CollgCr,SFoyer,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,TA,,Unf,Detchd,5,914.0,870.0,0,298,914.0,8846.0,576.0,1996,57.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,BrkTil,TA,No,TA,GasA,Ex,Y,Ex,Gd,Unf,Detchd,7,1641.0,728.0,809,16,832.0,9600.0,546.0,1925,60.0
RM,Pave,Reg,Gtl,BrkSide,1.5Fin,TA,PConc,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Detchd,5,1573.0,1078.0,445,0,1128.0,6240.0,360.0,1930,52.0
RL,Pave,Reg,Gtl,NWAmes,SLvl,TA,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,TA,Unf,Attchd,7,1472.0,1372.0,0,1036,1472.0,14115.0,588.0,1980,
RL,Pave,IR1,Gtl,Mitchel,1.5Fin,TA,CBlock,Gd,Mn,Gd,GasA,Ex,Y,TA,,Unf,Attchd,6,1750.0,983.0,767,660,983.0,12508.0,423.0,1940,75.0
RL,Pave,IR1,Gtl,CollgCr,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,8,1768.0,866.0,902,20,866.0,10769.0,578.0,2007,68.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,Gd,Y,TA,Gd,RFn,Attchd,6,1196.0,1196.0,0,616,1196.0,9000.0,297.0,1956,72.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,NoBasement,NoBasement,NoBasement,GasA,Ex,Y,Gd,,Fin,Detchd,4,1126.0,0.0,0,0,1126.0,8777.0,520.0,1949,67.0
RL,Pave,IR1,Gtl,Edwards,1Story,TA,Slab,NoBasement,NoBasement,NoBasement,GasA,Ex,N,TA,,Unf,Detchd,4,845.0,0.0,0,0,845.0,11500.0,290.0,1957,
RL,Pave,IR1,Mod,Mitchel,2Story,TA,CBlock,TA,Av,TA,GasA,Ex,Y,TA,Po,RFn,Attchd,5,1968.0,784.0,800,562,1168.0,11075.0,530.0,1969,
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Gd,Y,TA,,Unf,Attchd,5,1221.0,784.0,272,392,949.0,9738.0,392.0,1924,60.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,CBlock,TA,No,TA,GasA,Ex,N,TA,,Unf,Detchd,6,1368.0,684.0,684,0,684.0,3600.0,216.0,1910,60.0
RM,Pave,Reg,Gtl,BrDale,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,6,987.0,483.0,504,321,483.0,1869.0,280.0,1970,21.0
RL,Pave,IR1,Gtl,SawyerW,1Story,Gd,PConc,Gd,Mn,Gd,GasA,Gd,Y,Gd,TA,Fin,Attchd,7,1442.0,910.0,0,738,1442.0,10357.0,719.0,1990,114.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,Fa,No,Fa,GasA,TA,Y,TA,,Unf,Detchd,4,1220.0,836.0,0,836,1220.0,8877.0,396.0,1951,67.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1500.0,1500.0,0,20,1500.0,8487.0,570.0,2004,63.0
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,TA,Fin,Attchd,8,2450.0,1284.0,1140,781,1310.0,16545.0,1007.4922406197524,1998,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,Gd,Gd,Gd,GasA,TA,Y,TA,Gd,RFn,Attchd,7,2207.0,1947.0,0,912,2129.096057431453,19900.0,576.0,1970,
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1208.0,1187.0,0,686,1208.0,6762.0,632.0,2006,64.0
RM,Pave,Reg,Gtl,OldTown,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Ex,N,TA,,Unf,Attchd,5,1795.0,1050.0,745,0,1050.0,12150.0,352.0,1954,81.0
RL,Pave,IR1,Gtl,Edwards,1Story,TA,PConc,Gd,Gd,Gd,GasA,TA,Y,TA,,NoGarage,,4,1440.0,1440.0,0,1440,1440.0,7711.0,0.0,1977,42.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,1212.0,1212.0,0,36,1212.0,10420.0,460.0,2009,83.0
RM,Pave,Reg,Gtl,OldTown,1.5Fin,TA,PConc,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Detchd,7,1111.0,572.0,539,0,572.0,5700.0,288.0,1926,
RL,Pave,IR1,Gtl,NWAmes,2Story,Ex,CBlock,TA,No,TA,GasA,Ex,Y,Gd,TA,Fin,BuiltIn,8,2715.0,1142.0,1540,575,1175.0,8963.0,831.0,1976,
RL,Pave,IR1,Gtl,CollgCr,2Story,TA,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,Fin,Attchd,7,1724.0,880.0,844,0,880.0,8924.0,527.0,1998,57.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Attchd,6,1328.0,1328.0,0,569,1328.0,9790.0,528.0,1963,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,Av,TA,GasA,Gd,Y,TA,,RFn,Attchd,5,1052.0,1052.0,0,1016,1052.0,8400.0,288.0,1968,70.0
RL,Pave,Reg,Gtl,NoRidge,2Story,Gd,CBlock,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Unf,Attchd,8,2417.0,1288.0,1116,0,1301.0,16059.0,462.0,1991,121.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,TA,Unf,Detchd,4,948.0,948.0,0,732,948.0,8190.0,280.0,1954,60.0
RL,Pave,IR1,Gtl,BrkSide,2Story,TA,BrkTil,Gd,No,Gd,GasA,TA,N,Gd,,Unf,Detchd,7,2019.0,728.0,883,0,1136.0,11414.0,532.0,1910,60.0
RL,Pave,IR1,Gtl,BrkSide,1Story,TA,PConc,Gd,No,Gd,GasA,TA,Y,Fa,,NoGarage,,4,869.0,440.0,0,0,869.0,5900.0,0.0,1923,51.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1554.0,1554.0,0,24,1554.0,4590.0,627.0,2006,34.0
RL,Pave,Reg,Gtl,NAmes,2Story,TA,CBlock,Fa,Mn,Fa,GasA,TA,Y,TA,Gd,Unf,Attchd,6,2112.0,952.0,1020,500,1092.0,11075.0,576.0,1969,85.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,BrkTil,TA,No,TA,GasA,Ex,Y,Gd,,Unf,Attchd,5,1416.0,816.0,0,0,1416.0,25339.0,576.0,1918,
RL,Pave,IR1,Gtl,Gilbert,2Story,TA,PConc,TA,No,TA,GasA,Ex,Y,TA,TA,Fin,Attchd,6,1593.0,839.0,729,759,864.0,7415.0,398.0,2004,62.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,Gd,TA,RFn,Attchd,6,1381.0,1161.0,0,982,1381.0,9360.0,676.0,1972,78.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,RFn,Attchd,6,1632.0,1240.0,0,620,1632.0,9600.0,338.0,1958,80.0
RL,Pave,Reg,Gtl,Crawfor,1Story,TA,PConc,Fa,No,Fa,GasA,Ex,Y,Fa,Gd,Unf,Basment,5,954.0,920.0,0,0,954.0,6305.0,240.0,1938,50.0
RL,Pave,Reg,Gtl,Edwards,SFoyer,Gd,Slab,NoBasement,NoBasement,NoBasement,GasA,Ex,Y,Gd,Ex,RFn,BuiltIn,7,1922.0,0.0,1427,0,495.0,7301.0,672.0,2003,64.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,980.0,980.0,0,560,980.0,7064.0,484.0,1977,71.0
RL,Pave,IR1,Gtl,CollgCr,2Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,1786.0,920.0,866,486,920.0,11250.0,608.0,2001,68.0
RL,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1694.0,1686.0,0,1369,1694.0,10084.0,636.0,2004,75.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,Gd,Unf,Detchd,6,972.0,972.0,0,680,972.0,8000.0,240.0,1948,50.0
RL,Pave,Reg,Mod,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,TA,Unf,Detchd,5,1437.0,1188.0,0,988,1437.0,14175.0,576.0,1956,
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Fin,BuiltIn,8,2263.0,1055.0,1208,0,1055.0,9240.0,905.0,2001,
RL,Pave,Reg,Gtl,NWAmes,SLvl,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,RFn,Attchd,7,1725.0,539.0,685,315,1040.0,11584.0,550.0,1979,80.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,Gd,Fa,Unf,Attchd,5,1236.0,1070.0,0,360,1236.0,10011.0,447.0,1957,72.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,Attchd,5,1040.0,1040.0,0,369,1040.0,7560.0,286.0,1959,70.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Ex,No,Ex,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1704.0,1704.0,0,1218,1704.0,11478.0,772.0,2007,98.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,Fin,Attchd,6,1523.0,1193.0,0,644,1523.0,11361.0,478.0,1976,104.0
FV,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1489.0,1489.0,0,0,1489.0,11216.0,776.0,2006,81.0
RL,Pave,Reg,Gtl,Blmngtn,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,1569.0,1386.0,0,988,1569.0,3635.0,660.0,2007,51.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1212.0,1212.0,0,0,1212.0,9100.0,573.0,2001,70.0
RL,Pave,IR1,Gtl,CollgCr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1573.0,1573.0,0,788,1573.0,9808.0,544.0,2002,67.0
RL,Pave,Reg,Gtl,NWAmes,2Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,TA,RFn,Attchd,6,1790.0,732.0,778,247,1012.0,10400.0,484.0,1972,80.0
RL,Pave,Reg,Gtl,BrkSide,2Story,TA,CBlock,TA,Gd,TA,GasA,Ex,Y,Gd,TA,RFn,Attchd,5,1576.0,1324.0,504,1309,1072.0,21384.0,528.0,1923,130.7618378042347
FV,Pave,IR1,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,1728.0,864.0,864,503,864.0,8791.0,673.0,2003,64.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1600.0,1566.0,0,0,1600.0,14230.0,890.0,2007,110.0
RL,Pave,IR1,Gtl,StoneBr,1Story,Gd,PConc,Ex,Gd,Ex,GasA,Ex,Y,Gd,Gd,Fin,Attchd,9,1922.0,1922.0,0,1249,1922.0,14157.0,676.0,2005,86.0
RL,Pave,IR1,Gtl,Timber,2Story,TA,PConc,Ex,Av,Ex,GasA,Gd,Y,Gd,,RFn,Attchd,7,1692.0,846.0,846,0,846.0,13159.0,650.0,2009,83.0
FV,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,8,1656.0,1656.0,0,24,1656.0,11096.0,826.0,2006,84.0
RM,Pave,Reg,Gtl,OldTown,1Story,TA,BrkTil,Fa,No,Fa,GasA,Gd,Y,TA,,Unf,Detchd,4,1047.0,641.0,0,0,1047.0,10800.0,273.0,1885,60.0
RL,Pave,IR2,Gtl,NridgHt,2Story,Ex,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Ex,Fin,Attchd,9,2728.0,1848.0,880,1410,1848.0,20431.0,706.0,2005,56.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,RFn,Attchd,6,1425.0,1425.0,0,490,1425.0,10175.0,576.0,1964,100.0
RL,Pave,Reg,Gtl,BrkSide,1.5Unf,TA,BrkTil,TA,No,TA,Grav,Fa,N,Fa,Gd,Unf,Detchd,6,952.0,952.0,0,0,952.0,8854.0,192.0,1916,
RL,Pave,IR2,Gtl,CollgCr,1Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,,Unf,Attchd,5,990.0,990.0,0,716,990.0,13568.0,576.0,1995,43.0
RL,Pave,IR1,Sev,ClearCr,SLvl,TA,CBlock,TA,Gd,TA,GasA,Ex,Y,TA,TA,Unf,Attchd,6,988.0,938.0,0,938,988.0,21453.0,540.0,1969,
RH,Pave,Reg,Gtl,SawyerW,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,4,1056.0,1056.0,0,1056,1056.0,8900.0,384.0,1966,
RL,Pave,IR1,Gtl,Gilbert,1Story,Ex,PConc,Ex,Gd,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,1746.0,1746.0,0,1320,1746.0,14892.0,758.0,2006,42.0
RL,Pave,IR1,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Gd,Y,TA,TA,Fin,Attchd,7,1718.0,832.0,833,0,885.0,10141.0,427.0,1998,74.0
RL,Pave,IR1,Gtl,Sawyer,SLvl,TA,CBlock,Gd,Av,Gd,GasA,Ex,Y,TA,TA,RFn,Attchd,5,1464.0,520.0,0,444,1464.0,12886.0,480.0,1963,70.0
RL,Pave,IR1,Gtl,CollgCr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1660.0,831.0,829,0,831.0,8935.0,493.0,2002,68.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Ex,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Gd,RFn,Attchd,9,1752.0,1752.0,0,456,1752.0,7658.0,576.0,2005,61.0
RL,Pave,IR1,Gtl,Sawyer,1.5Fin,TA,CBlock,Gd,No,Gd,GasA,Ex,Y,TA,TA,RFn,BuiltIn,5,2620.0,1361.0,1259,498,1361.0,18890.0,600.0,1977,
RL,Pave,IR1,Gtl,Edwards,2Story,Ex,PConc,Ex,Gd,Ex,GasA,Ex,Y,Ex,Gd,Fin,BuiltIn,10,2829.164657188144,2154.1927632034717,1538,2260,2129.096057431453,35469.990413139654,884.0,2007,130.0
RM,Pave,Reg,Gtl,BrkSide,1.5Unf,TA,BrkTil,TA,No,TA,GasA,Gd,Y,Gd,,NoGarage,,5,784.0,784.0,0,784,784.0,6130.0,0.0,1924,50.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,Fa,,RFn,Attchd,4,1120.0,1040.0,0,932,1120.0,6970.0,544.0,1961,85.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Po,Unf,Attchd,4,1382.0,1051.0,0,547,1382.0,11235.0,459.0,1963,75.0
RL,Pave,IR1,Gtl,Sawyer,2Story,TA,CBlock,TA,Mn,TA,GasA,TA,Y,TA,TA,Fin,Attchd,6,1386.0,672.0,714,438,672.0,11616.0,440.0,1978,
RL,Pave,Reg,Mod,BrkSide,1Story,Fa,Slab,NoBasement,NoBasement,NoBasement,GasA,Fa,N,Fa,,NoGarage,,1,334.0,0.0,0,0,334.0,5000.0,0.0,1946,50.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Detchd,7,1200.0,600.0,600,0,600.0,3182.0,480.0,2004,30.0
RM,Pave,Reg,Gtl,Blmngtn,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Fin,Attchd,7,1414.0,1375.0,0,0,1414.0,3072.0,398.0,2004,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1584.0,1584.0,0,0,1584.0,8944.0,792.0,1967,65.0
RL,Pave,IR1,Mod,Crawfor,2Story,TA,PConc,Gd,No,Gd,GasA,Fa,Y,Gd,Gd,Unf,Detchd,8,1517.0,792.0,725,0,792.0,11435.0,400.0,1929,
RL,Pave,Reg,Gtl,NWAmes,1Story,Gd,CBlock,TA,No,TA,GasA,Ex,Y,Gd,,RFn,Attchd,6,1258.0,1258.0,0,656,1258.0,11040.0,528.0,1971,80.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,5,902.0,876.0,0,599,902.0,6173.0,288.0,1967,
RL,Pave,Reg,Gtl,SawyerW,1Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,Unf,Detchd,6,1158.0,1158.0,0,941,1158.0,13072.0,576.0,2004,63.0
RL,Pave,IR1,Gtl,Crawfor,1Story,TA,BrkTil,Gd,No,Gd,GasA,Ex,Y,TA,,Unf,Detchd,5,964.0,876.0,0,713,964.0,13360.0,432.0,1921,80.0
RL,Pave,IR1,Gtl,NAmes,2Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,Po,Unf,CarPort,6,2380.0,1021.0,915,187,1465.0,18450.0,596.0,1965,
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1232.0,1232.0,0,724,1232.0,7314.0,632.0,2007,64.0
RL,Pave,IR1,Gtl,CollgCr,1Story,TA,CBlock,TA,Av,TA,GasA,TA,Y,TA,,Unf,Detchd,5,864.0,864.0,0,390,864.0,7180.0,352.0,1972,60.0
RL,Pave,Reg,Gtl,SawyerW,2Story,Gd,CBlock,Gd,Av,Gd,GasA,Gd,Y,Gd,TA,Fin,Attchd,7,1982.0,807.0,807,421,1175.0,11287.0,575.0,1989,82.0
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,1924.0,1086.0,838,956,1086.0,12011.0,592.0,1998,78.0
RL,Pave,Reg,Gtl,Crawfor,2Story,Gd,BrkTil,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Unf,Detchd,7,2080.0,1276.0,804,0,1276.0,10918.0,282.0,1926,53.0
RL,Pave,Reg,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,TA,RFn,Attchd,6,1647.0,953.0,694,0,953.0,7917.0,460.0,1999,62.0
RL,Pave,Reg,Gtl,SawyerW,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Fa,RFn,Attchd,6,1617.0,1604.0,0,165,1617.0,8012.0,533.0,1993,50.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,PConc,NoBasement,NoBasement,NoBasement,GasA,Ex,Y,TA,Gd,RFn,Attchd,5,1340.0,0.0,0,0,1340.0,9060.0,252.0,1957,60.0
RL,Pave,IR1,Gtl,NridgHt,1Story,Ex,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,1940.0,1930.0,0,1646,1940.0,10159.0,606.0,2009,83.0
